date,player,line,predicted,actual,predDiff,rawProb,myProb,bookProb,edge,bet,stake,pnl,bankroll,betSide,betOdds,avgPts10,last1Pts
2024-10-22,Luke Kornet,5.5,11.4,4,5.88,0.748,0.667,0.52,0.146,True,50.0,-50.0,950.0,over,-125,3.3,0.0
2024-10-22,Mikal Bridges,14.5,12.8,16,1.68,0.567,0.644,0.51,0.134,True,47.97,-47.97,765.67,under,-120,13.8,8.0
2024-10-22,Miles McBride,9.5,8.0,22,1.45,0.558,0.635,0.49,0.146,True,50.0,-50.0,813.64,under,-110,10.5,8.0
2024-10-22,Payton Pritchard,9.5,13.1,3,3.59,0.659,0.57,0.469,0.101,True,36.36,-36.36,863.64,over,100,5.5,3.0
2024-10-22,Jaden McDaniels,9.5,14.1,6,4.55,0.698,0.612,0.48,0.133,True,50.0,-50.0,900.0,over,-105,13.3,8.0
2024-10-23,Keyonte George,14.5,12.7,12,1.78,0.571,0.648,0.51,0.138,True,50.0,41.67,911.15,under,-120,14.4,21.0
2024-10-23,De'Andre Hunter,14.5,12.7,12,1.85,0.574,0.651,0.51,0.141,True,50.0,41.67,869.48,under,-120,15.1,8.0
2024-10-23,Bogdan Bogdanovic,15.5,14.1,8,1.36,0.554,0.632,0.51,0.122,True,14.85,12.38,923.52,under,-120,18.9,21.0
2024-10-23,Toumani Camara,7.5,12.1,11,4.56,0.698,0.613,0.469,0.144,True,44.1,44.1,809.77,over,100,9.8,17.0
2024-10-23,Ziaire Williams,7.5,12.2,9,4.65,0.702,0.617,0.48,0.137,True,45.48,43.31,853.08,over,-105,9.9,9.0
2024-10-23,Jakob Poeltl,10.5,14.1,6,3.58,0.658,0.57,0.449,0.12,True,25.27,-25.27,827.81,over,110,12.2,8.0
2024-10-23,Chris Boucher,6.5,11.0,18,4.48,0.695,0.609,0.49,0.119,True,0.0,0.0,827.81,over,-110,7.2,16.0
2024-10-23,Taylor Hendricks,7.5,11.1,12,3.58,0.658,0.569,0.459,0.11,True,0.0,0.0,827.81,over,105,10.3,16.0
2024-10-24,Kevin Huerter,7.5,12.7,2,5.18,0.722,0.639,0.531,0.108,True,45.88,-45.88,877.64,over,-130,5.7,0.0
2024-10-25,Scotty Pippen Jr,8.5,16.2,13,7.67,0.808,0.679,0.531,0.148,True,50.0,38.46,916.1,over,-130,13.8,6.0
2024-10-25,Collin Sexton,16.5,15.2,12,1.3,0.552,0.653,0.52,0.132,True,50.0,40.0,1007.93,under,-125,21.2,16.0
2024-10-25,Rui Hachimura,13.5,12.1,14,1.45,0.558,0.635,0.52,0.115,True,31.65,-31.65,976.28,under,-125,11.5,18.0
2024-10-25,Keyonte George,15.5,13.2,12,2.31,0.592,0.668,0.52,0.148,True,50.0,40.0,967.93,under,-125,14.1,12.0
2024-10-25,T.J. McConnell,8.5,15.4,7,6.92,0.784,0.655,0.51,0.145,True,31.65,-31.65,927.93,over,-120,12.9,14.0
2024-10-25,Obi Toppin,6.5,11.9,8,5.36,0.729,0.646,0.5,0.146,True,50.0,43.48,959.58,over,-115,8.1,2.0
2024-10-26,Rudy Gobert,12.5,11.3,15,1.18,0.547,0.625,0.531,0.094,True,7.46,-7.46,813.51,under,-130,11.4,3.0
2024-10-26,Alex Sarr,8.5,7.0,12,1.5,0.56,0.637,0.531,0.107,True,42.5,-42.5,820.97,under,-130,2.0,2.0
2024-10-26,Evan Mobley,15.5,13.8,13,1.7,0.568,0.645,0.52,0.125,True,46.48,37.18,863.47,under,-125,17.6,16.0
2024-10-26,Terry Rozier,15.5,14.3,19,1.2,0.548,0.625,0.49,0.136,True,50.0,-50.0,826.28,under,-110,18.3,19.0
2024-10-26,Jakob Poeltl,10.5,16.1,8,5.6,0.738,0.609,0.469,0.139,True,50.0,-50.0,876.28,over,100,12.5,19.0
2024-10-26,Kentavious Caldwell-Pope,7.5,12.7,3,5.2,0.723,0.639,0.49,0.15,True,50.0,-50.0,926.28,over,-110,7.3,10.0
2024-10-27,Aaron Nesmith,7.5,12.6,10,5.06,0.718,0.634,0.52,0.114,True,39.18,31.34,795.14,over,-125,9.5,4.0
2024-10-27,Daniel Theis,5.5,11.5,2,5.98,0.752,0.67,0.541,0.13,True,49.71,-49.71,763.8,over,-135,5.0,5.0
2024-10-27,Caleb Martin,11.5,10.2,17,1.28,0.551,0.629,0.49,0.139,True,48.03,-48.03,774.73,under,-110,10.5,11.0
2024-10-27,Andrew Nembhard,9.5,14.2,10,4.67,0.702,0.617,0.51,0.107,True,33.14,27.62,822.76,over,-120,14.9,2.0
2024-10-28,Michael Porter Jr,15.5,13.5,13,1.97,0.579,0.656,0.51,0.145,True,37.0,30.83,610.81,under,-120,14.3,15.0
2024-10-28,Jalen Suggs,14.5,13.0,25,1.52,0.561,0.638,0.49,0.148,True,40.93,-40.93,617.59,under,-110,14.5,21.0
2024-10-28,Terry Rozier,15.5,14.1,20,1.45,0.558,0.635,0.49,0.145,True,37.61,-37.61,579.98,under,-110,18.9,19.0
2024-10-28,Derrick White,16.5,15.0,13,1.5,0.56,0.66,0.52,0.139,True,0.67,0.54,611.35,under,-125,15.8,17.0
2024-10-28,Taylor Hendricks,7.5,11.8,2,4.28,0.687,0.601,0.469,0.131,True,38.33,-38.33,693.12,over,100,9.8,0.0
2024-10-28,Zach Edey,7.5,12.3,6,4.8,0.707,0.623,0.49,0.133,True,43.28,-43.28,731.45,over,-110,8.333333333333334,7.0
2024-10-28,Julian Champagnie,8.5,13.6,5,5.15,0.721,0.637,0.51,0.127,True,34.6,-34.6,658.52,over,-120,12.9,12.0
2024-10-29,Klay Thompson,15.5,14.1,7,1.38,0.555,0.633,0.484,0.148,True,39.03,37.17,680.44,under,-105,20.7,18.0
2024-10-29,Daniel Gafford,8.5,11.9,14,3.44,0.652,0.563,0.441,0.122,True,28.0,31.92,643.27,over,114,8.8,9.0
2024-10-30,Tobias Harris,14.5,12.4,18,2.1,0.584,0.66,0.531,0.13,True,14.18,-14.18,644.32,under,-130,9.4,9.0
2024-10-30,Mikal Bridges,15.5,13.9,17,1.63,0.565,0.643,0.51,0.132,True,40.6,-40.6,658.5,under,-120,13.7,19.0
2024-10-30,Jakob Poeltl,13.5,11.6,20,1.94,0.577,0.654,0.51,0.144,True,47.29,-47.29,699.1,under,-120,11.8,16.0
2024-10-30,Chris Paul,8.5,12.8,14,4.34,0.689,0.603,0.49,0.114,True,34.25,31.14,746.39,over,-110,8.0,16.0
2024-10-30,Cody Martin,7.5,12.3,25,4.82,0.708,0.624,0.49,0.134,True,38.3,34.82,715.26,over,-110,6.9,10.0
2024-11-01,Donte DiVincenzo,10.5,14.8,7,4.32,0.692,0.62,0.48,0.141,True,32.22,-32.22,612.1,over,-105,17.2,3.0
2024-11-01,Toumani Camara,7.5,11.2,13,3.73,0.668,0.594,0.49,0.104,True,26.74,24.31,636.41,over,-110,9.3,2.0
2024-11-01,Jarrett Allen,14.5,13.0,2,1.47,0.556,0.623,0.49,0.134,True,32.22,29.29,665.7,under,-110,17.1,20.0
2024-11-01,Deandre Ayton,14.5,13.2,14,1.34,0.551,0.619,0.49,0.129,True,32.22,29.29,694.99,under,-110,19.8,20.0
2024-11-01,Tim Hardaway Jr,10.5,9.3,8,1.23,0.547,0.614,0.49,0.124,True,32.21,29.28,724.28,under,-110,8.3,16.0
2024-11-02,Dean Wade,5.5,11.7,8,6.21,0.764,0.698,0.551,0.147,True,32.22,23.01,747.29,over,-140,5.1,5.0
2024-11-02,Taurean Prince,7.5,12.2,16,4.74,0.709,0.639,0.52,0.119,True,32.22,25.78,773.07,over,-125,7.5,5.0
2024-11-02,Derrick White,15.5,13.7,18,1.77,0.568,0.635,0.49,0.145,True,32.22,-32.22,708.63,under,-110,16.7,17.0
2024-11-02,Keegan Murray,13.5,12.4,16,1.07,0.541,0.608,0.48,0.128,True,32.22,-32.22,676.41,under,-105,16.8,14.0
2024-11-02,Al Horford,7.5,11.6,0,4.15,0.685,0.613,0.5,0.113,True,32.22,-32.22,740.85,over,-115,8.1,8.0
2024-11-04,Santi Aldama,12.5,11.0,9,1.54,0.559,0.626,0.51,0.116,True,0.0,0.0,728.88,under,-120,10.6,10.0
2024-11-04,Rudy Gobert,12.5,11.3,8,1.25,0.548,0.615,0.51,0.105,True,0.0,0.0,728.88,under,-120,11.2,10.0
2024-11-04,Tyus Jones,11.5,10.3,4,1.2,0.546,0.613,0.52,0.093,True,0.0,0.0,728.88,under,-125,10.8,15.0
2024-11-04,Josh Green,6.5,10.5,8,4.02,0.679,0.607,0.5,0.107,True,31.12,27.06,703.47,over,-115,5.8,12.0
2024-11-04,Fred VanVleet,16.5,14.6,19,1.85,0.571,0.638,0.51,0.128,True,0.0,-0.0,728.88,under,-120,19.0,11.0
2024-11-04,Bilal Coulibaly,15.5,13.8,9,1.74,0.566,0.634,0.5,0.134,True,32.22,28.02,725.04,under,-115,15.5,22.0
2024-11-04,OG Anunoby,13.5,12.2,21,1.27,0.549,0.616,0.49,0.126,True,0.0,-0.0,728.88,under,-110,14.7,21.0
2024-11-04,Tobias Harris,14.5,12.7,15,1.84,0.57,0.638,0.49,0.148,True,32.22,-32.22,671.25,under,-110,11.8,18.0
2024-11-04,Jarrett Allen,16.5,14.1,14,2.42,0.592,0.659,0.52,0.139,True,32.22,25.78,697.02,under,-125,15.8,15.0
2024-11-04,P.J. Washington,11.5,9.2,8,2.29,0.587,0.655,0.52,0.134,True,4.8,3.84,728.88,under,-125,9.8,7.0
2024-11-06,Jonathan Kuminga,14.5,12.9,10,1.62,0.562,0.629,0.48,0.15,True,32.22,30.69,759.57,under,-105,12.6,15.0
2024-11-06,Evan Mobley,15.5,13.6,15,1.88,0.572,0.639,0.49,0.149,True,32.22,29.29,788.86,under,-110,19.3,17.0
2024-11-06,OG Anunoby,15.5,13.1,15,2.4,0.591,0.658,0.51,0.148,True,32.22,26.85,815.71,under,-120,15.1,21.0
2024-11-06,Miles Bridges,15.5,13.1,27,2.39,0.591,0.658,0.52,0.138,True,12.67,-12.67,803.04,under,-125,13.4,10.0
2024-11-06,Josh Hart,12.5,10.7,14,1.8,0.569,0.636,0.51,0.126,True,0.0,-0.0,803.04,under,-120,11.8,12.0
2024-11-06,Jrue Holiday,15.5,14.0,6,1.53,0.559,0.626,0.51,0.116,True,0.0,0.0,803.04,under,-120,12.9,16.0
2024-11-06,Russell Westbrook,14.5,12.4,29,2.05,0.578,0.646,0.531,0.115,True,0.0,-0.0,803.04,under,-130,11.333333333333334,21.0
2024-11-06,Chris Paul,11.5,10.3,10,1.24,0.548,0.615,0.52,0.094,True,0.0,0.0,803.04,under,-125,9.6,15.0
2024-11-06,Jalen Duren,12.5,10.7,0,1.77,0.567,0.635,0.541,0.094,True,0.0,0.0,803.04,under,-135,10.7,11.0
2024-11-07,Chris Paul,12.5,11.2,6,1.26,0.548,0.615,0.531,0.085,True,30.17,23.21,794.8,under,-130,9.8,10.0
2024-11-07,Julian Champagnie,11.5,10.5,14,1.04,0.54,0.607,0.52,0.087,True,31.44,-31.44,771.6,under,-125,9.4,13.0
2024-11-08,Cameron Johnson,15.5,13.4,18,2.09,0.58,0.647,0.5,0.147,True,32.22,-32.22,762.58,under,-115,15.1,20.0
2024-11-08,OG Anunoby,15.5,13.1,14,2.43,0.593,0.66,0.52,0.139,True,32.22,25.78,788.36,under,-125,14.7,15.0
2024-11-08,Mikal Bridges,15.5,13.5,17,1.95,0.575,0.642,0.51,0.132,True,32.22,-32.22,756.14,under,-120,13.7,10.0
2024-11-08,Klay Thompson,14.5,13.4,12,1.1,0.542,0.609,0.48,0.13,True,22.56,21.49,777.63,under,-105,14.1,13.0
2024-11-08,Zaccharie Risacher,13.5,12.2,7,1.3,0.55,0.617,0.49,0.127,True,0.0,0.0,777.63,under,-110,12.0,33.0
2024-11-08,Santi Aldama,13.5,12.4,12,1.15,0.544,0.611,0.49,0.121,True,0.0,0.0,777.63,under,-110,11.5,11.0
2024-11-08,Evan Mobley,15.5,13.4,23,2.07,0.579,0.646,0.531,0.116,True,0.0,-0.0,777.63,under,-130,18.9,15.0
2024-11-08,Bradley Beal,15.5,14.0,15,1.47,0.556,0.623,0.51,0.113,True,0.0,0.0,777.63,under,-120,17.1,7.0
2024-11-08,Daniel Gafford,11.5,10.3,15,1.19,0.545,0.613,0.52,0.092,True,0.0,-0.0,777.63,under,-125,10.1,17.0
2024-11-09,Jarrett Allen,14.5,13.5,4,1.03,0.539,0.606,0.49,0.116,True,32.22,29.29,806.92,under,-110,14.9,13.0
2024-11-10,Chet Holmgren,17.5,14.5,0,3.01,0.614,0.68,0.531,0.15,True,32.22,24.78,827.5,under,-130,18.8,29.0
2024-11-10,Malik Monk,13.5,12.1,4,1.44,0.555,0.623,0.49,0.133,True,24.38,22.16,906.12,under,-110,11.7,13.0
2024-11-10,Kevin Huerter,7.5,11.8,17,4.31,0.692,0.62,0.5,0.12,True,32.22,28.02,834.93,over,-115,8.6,11.0
