date,player,line,predicted,actual,predDiff,rawProb,myProb,bookProb,edge,bet,stake,pnl,bankroll,betSide,betOdds,avgPts10,last1Pts,retrain_period,model_train_end
2024-10-22,LeBron James,24.5,21.7,16,2.79,0.631,0.662,0.52,0.141,True,79.31,63.45,1063.45,under,-125,28.4,30.0,1,2024-10-22
2024-10-22,Luke Kornet,5.5,3.7,4,1.83,0.587,0.614,0.48,0.134,True,73.03,69.55,1133.0,under,-105,3.3,0.0,1,2024-10-22
2024-10-22,OG Anunoby,13.5,11.1,4,2.4,0.613,0.645,0.52,0.124,True,79.03,63.22,1196.22,under,-125,14.7,5.0,1,2024-10-22
2024-10-22,Jayson Tatum,26.5,23.9,37,2.63,0.624,0.603,0.49,0.113,True,70.97,-70.97,1125.25,under,-110,25.7,31.0,1,2024-10-22
2024-10-22,Rui Hachimura,11.5,10.4,18,1.07,0.551,0.57,0.48,0.09,False,0.0,0.0,1125.25,under,-105,12.7,15.0,1,2024-10-22
2024-10-22,Payton Pritchard,9.5,3.4,3,6.07,0.766,0.803,0.531,0.273,False,0.0,0.0,1125.25,under,-130,5.5,3.0,1,2024-10-22
2024-10-22,Nickeil Alexander-Walker,5.5,4.3,14,1.15,0.555,0.575,0.49,0.085,False,0.0,0.0,1125.25,under,-110,4.8,0.0,1,2024-10-22
2024-10-22,Mikal Bridges,14.5,11.0,16,3.54,0.664,0.702,0.51,0.192,False,0.0,0.0,1125.25,under,-120,13.8,8.0,1,2024-10-22
2024-10-22,Karl-Anthony Towns,21.5,17.7,12,3.79,0.675,0.706,0.5,0.206,False,0.0,0.0,1125.25,under,-115,18.1,28.0,1,2024-10-22
2024-10-22,Sam Hauser,6.5,4.9,10,1.6,0.576,0.601,0.51,0.091,False,0.0,0.0,1125.25,under,-120,5.3,8.0,1,2024-10-22
2024-10-22,Anthony Davis,24.5,21.5,36,2.97,0.639,0.67,0.49,0.18,False,0.0,0.0,1125.25,under,-110,25.1,17.0,1,2024-10-22
2024-10-22,Jaxson Hayes,4.5,2.7,10,1.75,0.583,0.609,0.51,0.099,False,0.0,0.0,1125.25,under,-120,3.9,1.0,1,2024-10-22
2024-10-22,Jaylen Brown,24.5,21.0,23,3.53,0.664,0.695,0.49,0.205,False,0.0,0.0,1125.25,under,-110,23.4,21.0,1,2024-10-22
2024-10-23,Jonathan Kuminga,17.5,15.0,10,2.49,0.617,0.648,0.5,0.148,True,89.51,77.83,1203.09,under,-115,14.9,16.0,1,2024-10-22
2024-10-23,Tyrese Haliburton,19.5,17.6,15,1.93,0.591,0.62,0.49,0.13,True,82.11,74.65,1277.73,under,-110,20.1,10.0,1,2024-10-22
2024-10-23,Taurean Prince,8.5,6.6,16,1.92,0.591,0.619,0.49,0.129,True,86.53,-86.53,1191.2,under,-110,6.9,4.0,1,2024-10-22
2024-10-23,Jalen Duren,14.5,12.2,13,2.33,0.61,0.641,0.52,0.121,True,81.08,64.86,1256.07,under,-125,12.4,20.0,1,2024-10-22
2024-10-23,Miles Bridges,19.5,17.6,10,1.89,0.59,0.619,0.5,0.119,True,80.34,69.86,1325.93,under,-115,18.7,4.0,1,2024-10-22
2024-10-23,Stephen Curry,26.5,24.0,17,2.5,0.618,0.597,0.48,0.117,True,79.51,75.72,1401.65,under,-105,24.3,22.0,1,2024-10-22
2024-10-23,Jimmy Butler,19.5,18.1,3,1.36,0.565,0.592,0.48,0.112,True,80.45,76.62,1478.27,under,-105,18.8,19.0,1,2024-10-22
2024-10-23,Walker Kessler,7.5,5.6,16,1.92,0.591,0.619,0.51,0.108,True,87.81,-87.81,1390.46,under,-120,7.2,6.0,1,2024-10-22
2024-10-23,Tyler Herro,19.5,18.4,14,1.14,0.554,0.58,0.49,0.09,False,0.0,0.0,1390.46,under,-110,18.8,15.0,1,2024-10-22
2024-10-23,Zach LaVine,20.5,16.2,27,4.29,0.696,0.727,0.51,0.217,False,0.0,0.0,1390.46,under,-120,16.7,8.0,1,2024-10-22
2024-10-23,Trae Young,25.5,19.1,30,6.35,0.777,0.8,0.51,0.29,False,0.0,0.0,1390.46,under,-120,18.4,22.0,1,2024-10-22
2024-10-23,Brandon Ingram,18.5,16.8,33,1.7,0.581,0.609,0.52,0.089,False,0.0,0.0,1390.46,under,-125,15.2,8.0,1,2024-10-22
2024-10-23,Jerami Grant,19.5,15.8,16,3.72,0.672,0.703,0.531,0.173,False,0.0,0.0,1390.46,under,-130,16.9,14.0,1,2024-10-22
2024-10-23,Scottie Barnes,20.5,16.1,9,4.38,0.7,0.731,0.51,0.221,False,0.0,0.0,1390.46,under,-120,17.9,10.0,1,2024-10-22
2024-10-23,Nick Richards,8.5,7.3,6,1.24,0.559,0.58,0.5,0.08,False,0.0,0.0,1390.46,under,-115,8.8,7.0,1,2024-10-22
2024-10-23,Giannis Antetokounmpo,28.5,27.3,25,1.18,0.556,0.531,0.52,0.011,False,0.0,0.0,1390.46,under,-125,28.2,15.0,1,2024-10-22
2024-10-23,Eric Gordon,12.5,8.5,2,4.03,0.685,0.725,0.51,0.214,False,0.0,0.0,1390.46,under,-120,5.5,6.0,1,2024-10-22
2024-10-23,Dyson Daniels,7.5,4.0,15,3.53,0.664,0.702,0.51,0.191,False,0.0,0.0,1390.46,under,-120,3.6,4.0,1,2024-10-22
2024-10-23,Aaron Nesmith,10.5,9.3,7,1.17,0.556,0.576,0.48,0.096,False,0.0,0.0,1390.46,under,-105,10.0,14.0,1,2024-10-22
2024-10-23,Alperen Sengun,20.5,19.3,25,1.18,0.556,0.583,0.5,0.083,False,0.0,0.0,1390.46,under,-115,20.5,14.0,1,2024-10-22
2024-10-23,Josh Giddey,12.5,7.0,14,5.5,0.745,0.784,0.52,0.264,False,0.0,0.0,1390.46,under,-125,8.7,2.0,1,2024-10-22
2024-10-23,Jalen Johnson,17.5,14.3,11,3.24,0.651,0.688,0.49,0.198,False,0.0,0.0,1390.46,under,-110,16.6,13.0,1,2024-10-22
2024-10-23,LaMelo Ball,23.5,20.7,34,2.82,0.632,0.663,0.49,0.173,False,0.0,0.0,1390.46,under,-110,23.3,15.0,1,2024-10-22
2024-10-23,Myles Turner,16.5,15.3,20,1.19,0.557,0.583,0.51,0.073,False,0.0,0.0,1390.46,under,-120,15.1,8.0,1,2024-10-22
